"censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag"
1977-08-19,8,20,1977,"control",10,64,"DS",NA,NA,NA,"0","0"
1977-08-19,8,20,1977,"control",11,24,"DS","F",50,NA,"0","0"
1977-08-19,8,20,1977,"control",11,47,"DM","M",37,45,"0","0"
1977-08-19,8,20,1977,"control",11,56,"DS","M",43,NA,"0","0"
1977-08-19,8,20,1977,"control",11,62,"PP","M",21,NA,"0","0"
1977-08-19,8,20,1977,"control",11,67,"DM","F",37,42,"0","0"
1977-08-19,8,20,1977,"control",12,22,"PP","F",20,15,"0","0"
1977-08-19,8,20,1977,"control",12,36,"DM","M",36,41,"0","0"
1977-08-19,8,21,1977,"control",13,13,"DM","F",37,31,"0","0"
1977-08-19,8,21,1977,"control",13,46,"PF","F",16,NA,"0","0"
1977-08-19,8,21,1977,"control",13,66,"DM","F",37,NA,"0","0"
1977-08-19,8,21,1977,"control",13,67,"DM","F",36,40,"0","0"
1977-08-19,8,21,1977,"control",13,71,"DM","M",37,NA,"0","0"
1977-08-19,8,21,1977,"control",13,76,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",14,32,"DM","M",36,NA,"0","0"
1977-08-19,8,21,1977,"control",14,34,"DM","M",33,NA,"0","0"
1977-08-19,8,21,1977,"control",14,36,"DM","F",34,NA,"0","0"
1977-08-19,8,21,1977,"control",14,52,"PF","M",15,NA,"0","0"
1977-08-19,8,21,1977,"control",14,72,"DM","M",37,NA,"0","0"
1977-08-19,8,21,1977,"control",14,76,"DM","M",38,NA,"0","0"
1977-08-19,8,21,1977,"control",15,12,"DM","F",32,NA,"0","0"
1977-08-19,8,21,1977,"control",15,34,"DM","M",34,NA,"0","0"
1977-08-19,8,21,1977,"control",15,42,"DM","M",37,NA,"0","0"
1977-08-19,8,21,1977,"control",15,45,"DM","F",35,NA,"0","0"
1977-08-19,8,21,1977,"control",15,63,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",15,64,"DS","M",40,NA,"0","0"
1977-08-19,8,21,1977,"control",16,37,"DM","F",34,NA,"0","0"
1977-08-19,8,21,1977,"control",16,57,"DM","M",36,NA,"0","0"
1977-08-19,8,21,1977,"control",16,76,"DS","F",50,NA,"0","0"
1977-08-19,8,21,1977,"control",17,16,"DM","M",33,NA,"0","0"
1977-08-19,8,21,1977,"control",17,31,"DM","M",37,NA,"0","0"
1977-08-19,8,21,1977,"control",17,43,"DS","F",45,NA,"0","0"
1977-08-19,8,21,1977,"control",17,61,"DM","F",34,NA,"0","0"
1977-08-19,8,20,1977,"control",18,14,"DM","F",33,40,"0","0"
1977-08-19,8,20,1977,"control",18,17,"DM","F",35,45,"0","0"
1977-08-19,8,20,1977,"control",18,23,"DM","M",35,29,"0","0"
1977-08-19,8,20,1977,"control",18,27,"DM",NA,NA,42,"0","0"
1977-08-19,8,20,1977,"control",18,31,"DM","F",36,43,"0","0"
1977-08-19,8,20,1977,"control",18,37,"DM","M",36,41,"0","0"
1977-08-19,8,20,1977,"control",18,54,"DM","F",35,30,"0","0"
1977-08-19,8,20,1977,"control",19,12,"DM","F",35,43,"0","0"
1977-08-19,8,20,1977,"control",19,56,"DM","M",35,39,"0","0"
1977-08-19,8,21,1977,"control",20,21,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",20,22,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",20,33,"DM","F",30,NA,"0","0"
1977-08-19,8,21,1977,"control",20,47,"DM","F",35,NA,"0","0"
1977-08-19,8,21,1977,"control",20,54,"DM","M",33,NA,"0","0"
1977-08-19,8,21,1977,"control",20,74,"DS","M",50,NA,"0","0"
1977-08-19,8,21,1977,"control",20,76,"DS","F",47,NA,"0","0"
1977-08-19,8,21,1977,"control",20,77,"DS",NA,NA,NA,"0","0"
1977-08-19,8,21,1977,"control",21,12,"DM","M",34,NA,"0","0"
1977-08-19,8,21,1977,"control",21,75,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",21,77,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",22,25,"DM","F",33,NA,"0","0"
1977-08-19,8,21,1977,"control",22,32,"DM","M",35,NA,"0","0"
1977-08-19,8,21,1977,"control",22,37,"DM","M",37,NA,"0","0"
1977-08-19,8,21,1977,"control",22,41,"DM","F",33,NA,"0","0"
1977-08-19,8,21,1977,"control",22,47,"DM","M",37,NA,"0","0"
1977-08-19,8,20,1977,"control",23,12,"DM","F",35,41,"0","0"
1977-08-19,8,20,1977,"control",23,31,"DM","M",38,46,"0","0"
1977-08-19,8,20,1977,"control",23,53,"DM","F",35,40,"0","0"
1977-08-19,8,20,1977,"control",23,67,"DM","M",37,42,"0","0"
1977-08-19,8,NA,1977,NA,24,NA,NA,NA,NA,NA,NA,NA
1977-09-11,9,13,1977,"control",1,13,"PF","M",13,4,"0","0"
1977-09-11,9,13,1977,"control",1,25,"DS","M",52,NA,"0","0"
1977-09-11,9,13,1977,"control",1,67,"DS","M",48,NA,"0","0"
1977-09-11,9,13,1977,"control",2,14,"DS","M",52,NA,"0","0"
1977-09-11,9,13,1977,"control",2,27,"DM","M",37,51,"0","0"
1977-09-11,9,13,1977,"control",2,51,"DM","M",25,44,"0","0"
1977-09-11,9,13,1977,"control",2,64,"PE","M",20,19,"0","0"
1977-09-11,9,13,1977,"control",3,11,"PP","F",19,15,"0","0"
1977-09-11,9,13,1977,"control",3,14,"DM",NA,NA,NA,"0","0"
1977-09-11,9,13,1977,"control",3,72,"DS",NA,NA,NA,"0","0"
